Set,Goal,Answer,Plan,Visual_Information
Wiki,List all articles from the 'Related Pages' sections of the Biophysics and Biochemistry pages.,"List of biochemistry topics, Biophysics, Chromatography, Organic chemistry, Bionics, Computational biology, Database of Molecular Motions, Nanotechnology","1. Type Biophysics in the search box and press Enter.
2. Scroll to the ""Related Pages"" section and remember the listed pages: ""Bionics, Computational biology, Database of Molecular Motions, Nanotechnology"".
3. Type Biochemistry in the search box and press Enter.
4. Scroll to the ""Related Pages"" section and remember the listed pages: ""List of biochemistry topics, Biophysics, Chromatography, Organic chemistry"".
5. Combine the lists from both pages into a single list. Send a message to the user: ""Bionics, Computational biology, Database of Molecular Motions, Nanotechnology, List of biochemistry topics, Biophysics, Chromatography, Organic chemistry"".",Irrelevant
Wiki,"Did the Physics article's 'Approaches in Physics' section mention the names of more scientists than the Chemistry article's ""Atoms"" section?",No,"1. Type Physics in the search box and press Enter.
2. Locate the ""Approaches in Physics"" section and count the number of unique scientists mentioned, which is one. Remember the count.
3. Type Chemistry in the search box and press Enter.
4. Locate the ""Atoms"" section and count the number of unique scientists mentioned, which is ten. But no need to count as soon as you find more than one. 
5. Compare the two counts to see if the Physics count is higher than the Chemistry count. As the count in Physics was not higher, send a message to the user: ""No"".",Irrelevant
Wiki,Find the largest city listed on the Wiki pages for Canada and Australia. Then tell me the population difference between those two cities.,Around 2.5 Million,"1. Type Canada in the search box and press Enter.
2. Identify the largest city mentioned in the article (likely Toronto), find its population figure (around 3 million), and remember it.
3. Type Australia in the search box and press Enter.
4. Identify the largest city mentioned in the article (likely Sydney), find its population figure (around 5.5 million), and remember it.
5. Calculate the absolute difference between the two population figures.
6. Send a message to the user: ""Around 2.5 Million"".",Irrelevant
Wiki,Visit the pages of the birthplaces of Albert Einstein's first and second sons. Then calculate the population difference between those places.,Around 288000,"1. Type Albert Einstein in the search box and press Enter.
2. Find the names of his first and second sons (Hans Albert Einstein and Eduard Tete Einstein) and identify their birthplaces (Bern and Zurich). 
3. Visit the hyperlink of the first birthplace, Bern, and record its population, which is 127,000.
4. Go back and visit the hyperlink of the second birthplace, Zurich, and record its population, which is 415,000.
5. Calculate the absolute difference between the population of Zurich and Bern. Send the absolute difference as a message to the user: ""Around 288000"".",Irrelevant
Wiki,"Visit the articles for Physics, Chemistry, and Biology to identify which one(s) contain a section that explicitly discusses the discipline's relationship with mathematics.",Physics,"1. Type Physics in the search box and press Enter.
2. Scan the table of contents or headers for a section discussing a relationship with mathematics. Note that such a section exists, and remember this.
3. Type Chemistry in the search box and press Enter.
4. Scan the table of contents or headers for a similar section regarding mathematics. Note that no such section exists, and remember this.
5. Type Biology in the search box and press Enter.
6. Scan the table of contents or headers for a similar section regarding mathematics. Note that no such section exists, and remember this.
7. Conclude that only the Physics article contained the specific section. Send a message to the user: ""Physics"".",Irrelevant
Wiki,"In the article on Language, visit the first hyperlink in the ""Types of Languages"" section. Then check the ""Related Pages"" section of the visited article. Is there any article that appears in both this section and the ""Related Pages"" section of the Language article? If so, list the common pages; otherwise, answer ""None"".",None found.,"1. Type Language in the search box and press Enter.
2. Record the list of articles in the ""Related Pages"" section of the Language article: ""Alphabet, Basic English, Sign language, English as a foreign language, English language, Historical linguistics, Language education, Language families and languages, Linguistics, List of languages, Orthography, Phonology, Second language, Semantics, Speech therapy.""
3. Navigate to the ""Types of Languages"" section and click the first hyperlink, ""Mathematics"".
4. On the new page, locate the ""Related Pages"" section and record the articles listed there: ""Timeline of women in mathematics, American Mathematical Society, Society for Industrial and Applied Mathematics, EASIAM, International Congress on Industrial and Applied Mathematics, International Congress of Mathematicians, International Mathematical Olympiad, Mathematics Genealogy Project, Mathematics Subject Classification.""
5. Compare the two lists of related pages to find any common articles. As no common articles were found, send a message to the user: ""None found"".",Helpful
Wiki,"Visit the first article listed in the ""Related Pages"" sections of the Time and War articles. Then list all the related pages mentioned in each of those visited articles.","Annals, Calendar, Anti-war movement, Ceasefire, Pacifism, Peace makers, Peace treaty, World peace","1. Type Time in the search box and press Enter.
2. Go to the ""Related Pages"" section and click the first article link, ""Chronology"".
3. On this new page, record all items listed in its ""Related Pages"" section, which are ""Annals, Calendar"".
4. Type War in the search box and press Enter.
5. Go to the ""Related Pages"" section and click the first article link, ""Peace"".
6. On this new page, record all items listed in its ""Related Pages"" section, which are ""Anti-war movement, Ceasefire, Pacifism, Peace makers, Peace treaty, World peace"".
7. Combine the lists recorded from both visited articles. Send a message to the user: ""Annals, Calendar, Anti-war movement, Ceasefire, Pacifism, Peace makers, Peace treaty, World peace"".",Irrelevant
Wiki,"Visit the pages of the people who were murdered in the ""Unnatural causes of death"" section of the ""Death"" article. How many of these visited articles have a ""Legacy"" section?",Three,"1. Type Death in the search box and press Enter.
2. Navigate to the ""Unnatural causes of death"" section and identify the people mentioned as murdered.
3. The first person is Abraham Lincoln. Click on his hyperlink.
4. On Abraham Lincoln's page, there is a ""Legacy"" section. Remeber the Count = 1.
5. Go back to the previous page on Death and click on the hyperlink of the second person, ""Martin Luther King Jr.""
6. On Martin Luther King Jr's page, there is a ""Legacy"" section. Remember the Count = 2.
7. Go back to the previous page on Death and click on the hyperlink of the third person, ""John F. Kennedy"".
8. On John F. Kennedy's page, there is a ""Legacy"" section. Remember the Count = 3.
9. Go back to the previous page on Death, and verify if there is any person left.
10. As there are no other people left and you found three legacy sections, send a message to the user: ""Three"".",Irrelevant
Wiki,"Visit the pages of the hyperlinked geographic regions mentioned in the ""Trees"" section of the Australia page. Among the visited pages, list the titles of the pages that do not have a section on languages.",Southeast Asia,"1. Type Australia in the search box and press Enter.
2. Navigate to the ""Trees"" section and identify any hyperlinked geographic regions mentioned. There will be two: ""Southeast Asia"" and ""Oceania"".
3. Click on the hyperlink of the first entry: Southeast Asia.
4. Check the visited article for a section on Languages. As there isn't, remember this fact.
5. Then go back and click on the hyperlink of Oceania.
6. Check the visited article for a section on Languages. As there is such a section, remember this fact.
7. Only Southeast Asia doesn't have a section on languages. Send a message to the user, ""Southeast Asia"".",Irrelevant
Wiki,Visit the article on the first rapper mentioned on Kid Cudi’s page (excluding Kid Cudi himself). How many studio albums has that rapper released (excluding collaborative albums)?,Ten,"1. Type Kid Cudi in the search box and press Enter.
2. Scan the text to find the first mention of a rapper other than Kid Cudi, which is Kanye West.
3. Click on the hyperlink of ""Kanye West"".
4. Navigate to the Studio Albums subsection in his article, which says he has 10 studio albums.Send this as a message to the user: ""Ten"".",Irrelevant
